TMW Order #,TMW Leg #,Doc Type,Carrier Invoice #,Carrier Amount,Carrier Invoice Date,Approved Date,Transflo
116946,117585,CI,17724,400,1/25/2024,1/25/2024,APPROVED
115744,116377,POD,,,,1/25/2024,COMPLETED
114549,115182,CI,10560,4549,1/24/2024,1/24/2024,APPROVED
116083,116718,POD,,,,1/25/2024,COMPLETED
116083,116718,BL,,,,1/25/2024,COMPLETED
115568,116202,CI,293215,2000,1/24/2024,1/24/2024,APPROVED
116083,116718,BL,,,,1/25/2024,COMPLETED
116083,116718,BL,,,,1/25/2024,COMPLETED
116083,116718,BL,,,,1/25/2024,COMPLETED
116083,116718,BL,,,,1/25/2024,COMPLETED
116083,116718,BL,,,,1/25/2024,COMPLETED
116340,116976,POD,,,,1/25/2024,COMPLETED
114885,115518,BL,,,,1/25/2024,COMPLETED
116108,116743,WGT,,,,1/25/2024,COMPLETED
117200,117840,BL,,,,1/25/2024,COMPLETED
116108,116743,WGT,,,,1/25/2024,COMPLETED
116108,116743,WGT,,,,1/25/2024,COMPLETED
114111,114740,POD,,,,1/25/2024,COMPLETED
116108,116743,WGT,,,,1/25/2024,COMPLETED
116033,116668,BL,,,,1/25/2024,COMPLETED
117103,117743,BL,,,,1/25/2024,COMPLETED
115696,116330,BL,,,,1/25/2024,COMPLETED
116230,116866,CI,35505,1750,1/25/2024,1/25/2024,APPROVED
113928,114555,CI,51019,1115,1/25/2024,1/25/2024,APPROVED
112242,112868,BL,,,,1/25/2024,COMPLETED
115205,115839,POD,,,,1/25/2024,COMPLETED
116279,116915,POD,,,,1/25/2024,COMPLETED
112904,113535,BL,,,,1/25/2024,COMPLETED
115930,116565,BL,,,,1/25/2024,COMPLETED
109088,,BL,,,,1/25/2024,COMPLETED
113928,114555,BL,,,,1/25/2024,COMPLETED
112904,113535,BL,,,,1/25/2024,COMPLETED
116133,116768,BL,,,,1/25/2024,COMPLETED
116086,116721,POD,,,,1/25/2024,COMPLETED
116849,117486,POD,,,,1/25/2024,COMPLETED
114448,115080,BL,,,,1/25/2024,COMPLETED
117125,117765,POD,,,,1/25/2024,COMPLETED
115276,115910,POD,,,,1/25/2024,COMPLETED
116645,117282,POD,,,,1/25/2024,COMPLETED
115276,115910,WGT,,,,1/25/2024,COMPLETED
114203,114833,BL,,,,1/25/2024,COMPLETED
115860,116494,POD,,,,1/25/2024,COMPLETED
116778,117415,BL,,,,1/25/2024,COMPLETED
115274,115908,BL,,,,1/25/2024,COMPLETED
116532,117168,POD,,,,1/25/2024,COMPLETED
116468,117104,POD,,,,1/25/2024,COMPLETED
114102,114731,POD,,,,1/25/2024,COMPLETED
116815,117452,POD,,,,1/25/2024,COMPLETED
114285,,BL,,,,1/25/2024,COMPLETED
115714,116348,POD,,,,1/25/2024,COMPLETED
116604,117241,POD,,,,1/25/2024,COMPLETED
116604,117241,WGT,,,,1/25/2024,COMPLETED
105946,106546,BL,,,,1/25/2024,COMPLETED
115373,116007,POD,,,,1/25/2024,COMPLETED
115052,115686,BL,,,,1/25/2024,COMPLETED
116926,117563,CI,116926,270,1/24/2024,1/24/2024,APPROVED
116133,116768,CI,18009,3999,1/25/2024,1/25/2024,APPROVED
116940,117577,CI,116940,550,1/24/2024,1/24/2024,APPROVED
113835,114462,BL,,,,1/25/2024,COMPLETED
115627,116261,CI,5998,885,1/25/2024,1/25/2024,APPROVED
116631,117268,CI,43694,3150,1/24/2024,1/24/2024,APPROVED
116936,117573,CI,LB03-0383,700,1/25/2024,1/25/2024,APPROVED
116532,117168,CI,ADAXR101211,1100,1/25/2024,1/25/2024,APPROVED
115561,116195,BL,,,,1/25/2024,COMPLETED
115653,116287,BL,,,,1/25/2024,COMPLETED
115669,116303,BL,,,,1/25/2024,COMPLETED
117290,117930,BL,,,,1/25/2024,COMPLETED
116284,116920,POD,,,,1/25/2024,COMPLETED
117290,117930,WGT,,,,1/25/2024,COMPLETED
105277,105874,CI,9742,487.5,1/24/2024,1/24/2024,APPROVED
116059,116694,POD,,,,1/25/2024,COMPLETED
116059,116694,BL,,,,1/25/2024,COMPLETED
116059,116694,BL,,,,1/25/2024,COMPLETED
115229,115863,POD,,,,1/25/2024,COMPLETED
114956,115590,CI,IN-002223,2000,1/24/2024,1/24/2024,APPROVED
113598,114229,POD,,,,1/25/2024,COMPLETED
